,,,,,,,,,,,,,,,,,,,,,,,,,,
,TVBOX Inventário,,,,,PROJETO,,ALÉM DO HORIZONTE,,,CAMPUS,GOIÂNIA,,HOJE,06/04/2026,,,,,,,,,,,
TVBOX,,,,,,ESPECIFICAÇÕES,,,,,DESCARACTERIZAÇÃO,,,,,,,,,,,,,,,
PROCESSADOR,Modp.,MAC,MARCA,,Mod.,RAM,HD,AUDIO,WIFI,BLUETOOTH,Status,Última verificação,Observações,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
RockChip,RK3228A,D896E07B12DD,BTV,,B11,,,,,,Em teste,02.12.2025,,,,,,,,,,,,,,
RockChip,RK3228A,A8190AF55500,MXQ,,PRO4K 5G,,,,,,Com defeito,14.1.2026,Não liga,,,,,,,STATUS DAS TAREFAS,,,,PROCESSADORES,,
RockChip,RK3228A,A8190A1CB23B,MXQ,,PRO4K 5G,1 GB,8 GB,✔,,,Concluída,2.12.2025,ARMBIAN,,,,,,,A fazer...,,9,,Amlogic,,15
RockChip,RK3228A,A82009AB1D7C,MXQ,,PRO4K 5G,,,,,,Com defeito,26.1.2026,Não liga,,,,,,,Em teste,,4,,Allwinner,,9
Amlogic,S905X3,EC2CBB81A323,BTV,,B11,,,,,,Em teste,28.11.2025,Não inicia apos instalacao,,,,,,,Concluída,,49,,RockChip,,42
Amlogic,S905X3,EC2CBAB101EB,BTV,,B11,1 GB,16 GB,,✔,,Concluída,14.11.2025,ARMBIAN,,,,,,,Com defeito,,29,,TOTAL,,66
Amlogic,S905X3,EC2CBB819CE8,BTV,,B11,,,,,,Concluída,14.11.2025,ARMBIAN,,,,,,,TOTAL,,91,,,,
Amlogic,S905X3,EC2CBB81A0D4,BTV,,B11,,,,,,Concluída,2.12.2025,ARMBIAN,,,,,,,,,,,,,
Amlogic,S905X3,EC2CBAB12E41,BTV,,B11,1 GB,16 GB,✔,✔,✔,Concluída,03.11.2025,EDUCABOX,,,,,,,,,,,,,
Amlogic,S905X3,EC2CBAB2456E,BTV,,B11,1 GB,16 GB,✔,✔,✔,Concluída,28.11.2025,ARMBIAM SERVIDOR,,,,,,,,,,,,,
Amlogic,S905X3,EC2CBAB2A4E5,BTV,,B11,,,,,,Com defeito,10.11.2025,Após instalação ARMBIAN não ativa,,,,,,,,,,,,,
Amlogic,S905X3,EC2CBAB24945,BTV,,B11,1 GB,16 GB,✔,✔,✔,Concluída,11.11.2025,EDUCABOX,,,,,,,,,,,,,
Amlogic,S905X3,EC2CBB8193F3,BTV,,B11,,,,,,Concluída,10.11.2025,ARMBIAM,,,,,,,,,,,,,
